signature,lower_ci,archetype
4f151f7b,1,1
4ff0d50e,1,1
5d20a2a1,1,1
8acd216f,1,1
9ad64504,1,1
10f21ab1,1,1
20d1a998,1,1
025c4235,1,1
26c6c9a8,1,1
28ea6099,1,1
51cb39a2,1,1
66f94ea4,1,1
127fa695,1,1
0636fec8,1,1
878c2b22,1,1
7143b090,1,1
8699c31c,1,1
15676ecd,1,1
22336bc3,1,1
524258eb,1,1
4655324a,1,1
a2db808a,1,1
a16c44fe,1,1
ab2bf611,1,1
b03ef3b3,1,1
b7162a87,1,1
b89170b3,1,1
cacc7f16,1,1
cd079be3,1,1
d9d0c06b,1,1
d13fbc0c,1,1
d177f347,1,1
d4735d04,1,1
